Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-02-29 22:42:49,2024-03-01 22:38:34,UTC-05:00,62,73,38,34.30,97.03,13.5,1923,161,84,2024-02-29 22:42:49,2024-03-01 07:16:38,91,14.8,440,511,239,100,101,71,482,12,86,87
2024-02-28 22:14:54,2024-02-29 22:42:49,UTC-05:00,90,69,53,35.30,95.75,9.2,1645,164,78,2024-02-28 22:14:54,2024-02-29 06:49:41,96,15.4,470,514,313,91,66,44,490,27,91,92
2024-02-27 21:46:30,2024-02-28 22:14:54,UTC-05:00,39,78,31,34.30,94.59,4.2,1477,127,79,2024-02-27 21:46:30,2024-02-28 06:47:14,89,15.0,466,534,239,86,141,68,521,36,87,87
2024-02-26 22:17:43,2024-02-27 21:46:30,UTC-05:00,35,77,31,34.50,96.93,13.1,1767,183,84,2024-02-26 22:17:43,2024-02-27 07:25:11,86,15.2,434,547,239,82,113,113,507,22,81,88
2024-02-25 22:19:32,2024-02-26 22:17:43,UTC-05:00,62,74,38,34.70,96.65,13.0,1907,166,88,2024-02-25 22:19:32,2024-02-26 06:44:46,90,14.1,424,501,184,96,144,77,470,5,85,85
2024-02-24 21:49:43,2024-02-25 22:19:32,UTC-05:00,42,74,32,34.30,95.84,6.4,1523,137,82,2024-02-24 21:49:43,2024-02-25 06:45:11,98,14.4,476,528,275,115,86,52,485,12,90,82
2024-02-23 22:57:56,2024-02-24 21:49:43,UTC-05:00,63,72,38,33.93,95.25,10.1,1607,176,83,2024-02-23 22:57:56,2024-02-24 07:42:49,96,15.2,457,524,239,104,114,67,477,14,89,77
2024-02-22 22:31:57,2024-02-23 22:57:56,UTC-05:00,39,78,30,33.10,94.68,5.5,1508,148,80,2024-02-22 22:31:57,2024-02-23 07:45:11,96,15.6,484,549,258,91,135,65,506,0,88,72
2024-02-21 21:01:32,2024-02-22 22:31:57,UTC-05:00,66,73,40,34.23,95.25,16.5,2089,186,82,2024-02-21 21:01:32,2024-02-22 06:40:44,100,14.7,529,576,266,99,164,47,484,14,92,84
2024-02-20 21:33:13,2024-02-21 21:01:32,UTC-05:00,36,77,31,34.20,95.53,9.2,1602,169,84,2024-02-20 21:33:13,2024-02-21 06:31:05,95,14.9,459,536,244,98,117,77,482,0,88,76
2024-02-19 20:46:04,2024-02-20 21:33:13,UTC-05:00,41,73,34,34.60,94.32,12.6,1838,178,79,2024-02-19 20:46:04,2024-02-20 06:44:00,100,14.1,550,597,253,135,162,47,497,34,92,61
2024-02-18 21:54:45,2024-02-19 20:46:04,UTC-05:00,22,80,28,34.40,95.58,5.4,1413,134,83,2024-02-18 21:54:45,2024-02-19 06:30:01,86,14.5,429,515,181,100,148,86,498,27,83,72
2024-02-17 23:32:44,2024-02-18 21:54:45,UTC-05:00,32,75,36,34.79,94.44,9.7,1586,161,85,2024-02-17 23:32:44,2024-02-18 07:37:14,88,14.5,410,483,241,98,71,73,465,0,87,75
2024-02-16 22:48:58,2024-02-17 23:32:44,UTC-05:00,62,71,47,33.51,96.60,6.8,1570,134,82,2024-02-16 22:48:58,2024-02-17 09:18:08,100,14.6,515,629,267,117,131,114,463,0,82,79
2024-02-15 22:50:21,2024-02-16 22:48:58,UTC-05:00,31,78,33,34.20,96.76,5.2,1467,129,80,2024-02-15 22:50:21,2024-02-16 09:07:02,100,15.6,546,614,304,115,127,68,523,23,90,70
2024-02-14 22:17:10,2024-02-15 22:50:21,UTC-05:00,33,77,36,33.15,95.43,15.5,1972,194,83,2024-02-14 22:17:10,2024-02-15 06:59:34,91,14.4,470,521,213,102,155,51,517,35,90,83
2024-02-13 22:10:45,2024-02-14 22:17:10,UTC-05:00,50,75,44,33.90,97.16,12.5,1835,177,84,2024-02-13 22:10:45,2024-02-14 06:49:01,86,15.3,432,513,235,84,113,81,503,19,86,80
2024-02-12 23:35:47,2024-02-13 22:10:45,UTC-05:00,35,72,36,35.37,96.14,12.8,1773,166,82,2024-02-12 23:35:47,2024-02-13 07:54:43,92,14.5,463,498,242,92,129,35,502,28,92,82
2024-02-11 23:07:53,2024-02-12 23:35:47,UTC-05:00,45,74,43,35.40,96.67,10.5,1742,150,85,2024-02-11 23:07:53,2024-02-12 06:52:03,88,15.0,409,459,225,72,112,50,466,0,89,81
2024-02-10 22:06:17,2024-02-11 23:07:53,UTC-05:00,47,69,43,32.86,94.26,7.5,1603,136,80,2024-02-10 22:06:17,2024-02-11 07:59:36,100,15.5,574,593,293,111,170,19,504,13,96,76
2024-02-09 23:52:28,2024-02-10 22:06:17,UTC-05:00,78,68,59,34.60,96.55,14.1,1752,189,81,2024-02-09 23:52:28,2024-02-10 08:25:20,95,14.5,472,512,151,142,179,40,499,21,92,64
2024-02-08 22:44:11,2024-02-09 23:52:28,UTC-05:00,27,74,33,33.03,95.80,11.4,1821,140,85,2024-02-08 22:44:11,2024-02-09 06:50:21,91,15.3,447,473,240,108,99,26,490,0,95,80
2024-02-07 21:45:58,2024-02-08 22:44:11,UTC-05:00,65,69,53,34.36,95.11,14.1,2020,185,80,2024-02-07 21:45:58,2024-02-08 07:16:31,100,14.5,529,569,338,93,98,40,475,0,92,82
2024-02-06 21:27:28,2024-02-07 21:45:58,UTC-05:00,42,73,44,34.13,94.94,11.0,1759,164,81,2024-02-06 21:27:28,2024-02-07 06:30:33,100,15.5,498,541,340,72,86,43,476,0,92,80
2024-02-05 21:31:45,2024-02-06 21:27:28,UTC-05:00,60,69,53,33.58,95.80,11.1,1724,174,76,2024-02-05 21:31:45,2024-02-06 07:49:17,100,14.6,546,597,327,77,142,51,514,43,91,75
2024-02-04 23:23:41,2024-02-05 21:31:45,UTC-05:00,31,71,39,34.70,96.62,9.9,1572,157,80,2024-02-04 23:23:41,2024-02-05 06:29:32,82,14.4,390,425,239,75,76,35,476,10,91,84
2024-02-03 23:28:26,2024-02-04 23:23:41,UTC-05:00,53,67,47,35.16,94.19,7.3,1555,140,80,2024-02-03 23:28:26,2024-02-04 07:37:16,95,14.0,447,485,253,103,91,38,469,0,92,76
2024-02-02 21:28:43,2024-02-03 23:28:26,UTC-05:00,79,66,62,34.50,93.50,9.1,1744,140,79,2024-02-02 21:28:43,2024-02-03 07:58:51,100,14.9,576,621,403,105,68,45,465,0,92,81
2024-02-01 22:41:22,2024-02-02 21:28:43,UTC-05:00,58,68,52,33.02,96.26,6.7,1449,161,74,2024-02-01 22:41:22,2024-02-02 08:08:32,100,14.8,509,558,277,100,132,49,490,0,91,71
2024-01-31 22:02:57,2024-02-01 22:41:22,UTC-05:00,64,68,55,34.00,96.33,14.0,1892,180,77,2024-01-31 22:02:57,2024-02-01 07:33:22,100,14.6,506,567,289,78,139,61,471,0,89,76
2024-01-30 20:31:35,2024-01-31 22:02:57,UTC-05:00,67,68,55,34.70,95.98,9.8,1765,154,79,2024-01-30 20:31:35,2024-01-31 06:36:15,100,14.5,513,595,298,88,127,82,477,0,88,84
2024-01-29 21:09:37,2024-01-30 20:31:35,UTC-05:00,76,68,60,34.33,97.50,11.5,1744,158,78,2024-01-29 21:09:37,2024-01-30 06:52:50,100,14.4,522,583,258,107,157,61,483,0,91,83
2024-01-28 20:54:41,2024-01-29 21:09:37,UTC-05:00,53,68,47,34.02,95.70,12.7,1876,159,83,2024-01-28 20:54:41,2024-01-29 06:45:23,100,13.8,522,586,276,113,133,64,471,0,89,69
2024-01-27 22:10:35,2024-01-28 20:54:41,UTC-05:00,97,64,84,33.80,97.81,9.7,1578,157,78,2024-01-27 22:10:35,2024-01-28 08:18:30,100,14.7,558,599,302,95,161,41,479,14,94,72
2024-01-26 21:21:03,2024-01-27 22:10:35,UTC-05:00,62,71,53,34.00,96.00,6.2,1549,129,79,2024-01-26 21:21:03,2024-01-27 06:56:32,96,14.5,502,563,274,92,136,61,525,46,91,82
2024-01-25 23:56:49,2024-01-26 21:21:03,UTC-05:00,31,75,36,34.60,96.80,11.9,1602,167,85,2024-01-25 23:56:49,2024-01-26 06:50:03,80,14.5,373,408,199,81,93,35,467,2,93,69
2024-01-24 22:01:55,2024-01-25 23:56:49,UTC-05:00,46,72,45,33.30,96.68,6.6,1648,142,78,2024-01-24 22:01:55,2024-01-25 06:38:08,99,14.6,471,516,221,115,135,45,475,0,91,83
2024-01-23 21:13:31,2024-01-24 22:01:55,UTC-05:00,70,68,59,33.00,96.77,10.9,1773,168,79,2024-01-23 21:13:31,2024-01-24 07:04:44,100,15.1,532,591,291,107,134,59,464,0,91,78
2024-01-22 20:42:44,2024-01-23 21:13:31,UTC-05:00,83,69,63,32.76,96.00,6.3,1540,140,75,2024-01-22 20:42:44,2024-01-23 06:59:53,100,14.5,512,613,198,76,238,101,502,23,86,64
