Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-02-12 23:35:47,2024-02-13 22:10:45,UTC-05:00,2024-02-12 23:35:47,2024-02-13 07:54:43,92,14.5,463,498,242,92,129,35,502,28,92,82,false
2024-02-11 23:07:53,2024-02-12 23:35:47,UTC-05:00,2024-02-11 23:07:53,2024-02-12 06:52:03,88,15.0,409,459,225,72,112,50,466,0,89,81,false
2024-02-10 22:06:17,2024-02-11 23:07:53,UTC-05:00,2024-02-10 22:06:17,2024-02-11 07:59:36,100,15.5,574,593,293,111,170,19,504,13,96,76,false
2024-02-09 23:52:28,2024-02-10 22:06:17,UTC-05:00,2024-02-09 23:52:28,2024-02-10 08:25:20,95,14.5,472,512,151,142,179,40,499,21,92,64,false
2024-02-08 22:44:11,2024-02-09 23:52:28,UTC-05:00,2024-02-08 22:44:11,2024-02-09 06:50:21,91,15.3,447,473,240,108,99,26,490,0,95,80,false
2024-02-07 21:45:58,2024-02-08 22:44:11,UTC-05:00,2024-02-07 21:45:58,2024-02-08 07:16:31,100,14.5,529,569,338,93,98,40,475,0,92,82,false
2024-02-06 21:27:28,2024-02-07 21:45:58,UTC-05:00,2024-02-06 21:27:28,2024-02-07 06:30:33,100,15.5,498,541,340,72,86,43,476,0,92,80,false
2024-02-05 21:31:45,2024-02-06 21:27:28,UTC-05:00,2024-02-05 21:31:45,2024-02-06 07:49:17,100,14.6,546,597,327,77,142,51,514,43,91,75,false
2024-02-04 23:23:41,2024-02-05 21:31:45,UTC-05:00,2024-02-04 23:23:41,2024-02-05 06:29:32,82,14.4,390,425,239,75,76,35,476,10,91,84,false
2024-02-03 23:28:26,2024-02-04 23:23:41,UTC-05:00,2024-02-03 23:28:26,2024-02-04 07:37:16,95,14.0,447,485,253,103,91,38,469,0,92,76,false
2024-02-02 21:28:43,2024-02-03 23:28:26,UTC-05:00,2024-02-02 21:28:43,2024-02-03 07:58:51,100,14.9,576,621,403,105,68,45,465,0,92,81,false
2024-02-01 22:41:22,2024-02-02 21:28:43,UTC-05:00,2024-02-01 22:41:22,2024-02-02 08:08:32,100,14.8,509,558,277,100,132,49,490,0,91,71,false
2024-01-31 22:02:57,2024-02-01 22:41:22,UTC-05:00,2024-01-31 22:02:57,2024-02-01 07:33:22,100,14.6,506,567,289,78,139,61,471,0,89,76,false
2024-01-30 20:31:35,2024-01-31 22:02:57,UTC-05:00,2024-01-30 20:31:35,2024-01-31 06:36:15,100,14.5,513,595,298,88,127,82,477,0,88,84,false
2024-01-29 21:09:37,2024-01-30 20:31:35,UTC-05:00,2024-01-29 21:09:37,2024-01-30 06:52:50,100,14.4,522,583,258,107,157,61,483,0,91,83,false
2024-01-28 20:54:41,2024-01-29 21:09:37,UTC-05:00,2024-01-28 20:54:41,2024-01-29 06:45:23,100,13.8,522,586,276,113,133,64,471,0,89,69,false
2024-01-27 22:10:35,2024-01-28 20:54:41,UTC-05:00,2024-01-27 22:10:35,2024-01-28 08:18:30,100,14.7,558,599,302,95,161,41,479,14,94,72,false
2024-01-26 21:21:03,2024-01-27 22:10:35,UTC-05:00,2024-01-26 21:21:03,2024-01-27 06:56:32,96,14.5,502,563,274,92,136,61,525,46,91,82,false
2024-01-25 23:56:49,2024-01-26 21:21:03,UTC-05:00,2024-01-25 23:56:49,2024-01-26 06:50:03,80,14.5,373,408,199,81,93,35,467,2,93,69,false
2024-01-24 22:01:55,2024-01-25 23:56:49,UTC-05:00,2024-01-24 22:01:55,2024-01-25 06:38:08,99,14.6,471,516,221,115,135,45,475,0,91,83,false
2024-01-23 21:13:31,2024-01-24 22:01:55,UTC-05:00,2024-01-23 21:13:31,2024-01-24 07:04:44,100,15.1,532,591,291,107,134,59,464,0,91,78,false
2024-01-22 20:42:44,2024-01-23 21:13:31,UTC-05:00,2024-01-22 20:42:44,2024-01-23 06:59:53,100,14.5,512,613,198,76,238,101,502,23,86,64,false
2024-01-21 22:26:59,2024-01-22 20:42:44,UTC-05:00,2024-01-21 22:26:59,2024-01-22 06:49:40,92,14.4,437,497,209,104,124,60,475,0,90,82,false
2024-01-20 23:13:05,2024-01-21 22:26:59,UTC-05:00,2024-01-20 23:13:05,2024-01-21 08:03:15,100,15.3,500,526,394,21,85,26,465,0,95,80,false
2024-01-19 22:17:45,2024-01-20 23:13:05,UTC-05:00,2024-01-19 22:17:45,2024-01-20 08:36:21,100,14.9,572,609,378,97,97,37,525,46,93,71,false
2024-01-18 23:32:13,2024-01-19 22:17:45,UTC-05:00,2024-01-18 23:32:13,2024-01-19 07:25:11,86,13.9,447,472,308,70,69,25,520,56,96,63,false
2024-01-18 00:53:52,2024-01-18 23:32:13,UTC-05:00,2024-01-18 00:53:52,2024-01-18 08:41:06,83,15.6,419,465,218,92,109,46,508,38,90,48,false
2024-01-16 21:43:01,2024-01-18 00:53:52,UTC-05:00,2024-01-16 21:43:01,2024-01-17 06:39:25,89,14.2,477,531,307,75,95,54,537,55,91,82,false
2024-01-15 22:28:08,2024-01-16 21:43:01,UTC-05:00,2024-01-15 22:28:08,2024-01-16 06:09:34,83,13.7,411,451,231,99,81,40,497,13,91,81,false
2024-01-14 20:52:19,2024-01-15 22:28:08,UTC-05:00,2024-01-14 20:52:19,2024-01-15 06:59:52,96,13.8,502,607,273,108,121,105,523,58,83,66,false
2024-01-13 22:54:57,2024-01-14 20:52:19,UTC-05:00,2024-01-13 22:54:57,2024-01-14 06:50:48,78,15.4,414,470,226,98,90,56,531,25,88,74,false
2024-01-12 22:10:13,2024-01-13 22:54:57,UTC-05:00,2024-01-12 22:10:13,2024-01-13 08:00:55,93,14.3,540,590,307,120,113,50,579,90,91,65,false
2024-01-11 23:33:55,2024-01-12 22:10:13,UTC-05:00,2024-01-11 23:33:55,2024-01-12 06:47:57,68,14.8,377,428,143,84,150,51,557,90,88,63,false
2024-01-11 00:04:09,2024-01-11 23:33:55,UTC-05:00,2024-01-11 00:04:09,2024-01-11 09:31:49,70,15.6,428,567,169,111,148,139,610,107,76,59,false
2024-01-10 01:23:26,2024-01-11 00:04:09,UTC-05:00,2024-01-10 01:23:26,2024-01-10 06:59:53,57,15.6,291,336,182,58,51,45,507,28,86,63,false
2024-01-08 22:29:42,2024-01-10 01:23:26,UTC-05:00,2024-01-08 22:29:42,2024-01-09 07:02:34,89,14.8,460,512,300,103,57,52,518,27,89,78,false
2024-01-07 23:17:05,2024-01-08 22:29:42,UTC-05:00,2024-01-07 23:17:05,2024-01-08 07:03:19,88,14.1,409,462,255,73,81,53,464,0,89,75,false
2024-01-06 21:39:16,2024-01-07 23:17:05,UTC-05:00,2024-01-06 21:39:16,2024-01-07 08:24:48,100,13.8,532,643,252,142,138,111,509,44,83,69,false
2024-01-05 22:58:33,2024-01-06 21:39:16,UTC-05:00,2024-01-05 22:58:33,2024-01-06 06:59:41,83,14.2,435,481,197,101,137,46,525,60,90,68,false
2024-01-05 01:10:13,2024-01-05 22:58:33,UTC-05:00,2024-01-05 01:10:13,2024-01-05 08:42:02,75,14.7,362,446,193,73,96,84,484,0,82,57,false
2024-01-03 21:24:16,2024-01-05 01:10:13,UTC-05:00,2024-01-03 21:24:16,2024-01-04 07:31:49,100,14.3,537,607,277,129,131,70,512,25,90,69,false
2024-01-03 00:14:21,2024-01-03 21:24:16,UTC-05:00,2024-01-03 00:14:21,2024-01-03 08:31:23,92,14.1,460,495,293,92,75,35,500,0,94,54,false
2024-01-01 21:23:16,2024-01-03 00:14:21,UTC-05:00,2024-01-01 21:23:16,2024-01-02 06:49:29,100,14.2,533,566,293,100,140,33,464,0,94,74,false
2023-12-31 21:06:24,2024-01-01 21:23:16,UTC-05:00,2023-12-31 21:06:24,2024-01-01 06:55:13,100,14.2,549,588,361,111,77,39,510,34,93,50,false
2023-12-30 22:30:21,2023-12-31 21:06:24,UTC-05:00,2023-12-30 22:30:21,2023-12-31 05:51:44,85,14.5,396,441,241,83,72,45,464,0,89,29,false
2023-12-29 23:30:02,2023-12-30 22:30:21,UTC-05:00,2023-12-29 23:30:02,2023-12-30 08:46:38,100,14.9,487,556,309,101,77,69,459,55,87,8,false
2023-12-28 23:00:43,2023-12-29 23:30:02,UTC-05:00,2023-12-29 17:30:01,2023-12-29 18:44:02,12,13.5,61,67,50,11,0,6,520,55,91,,true
2023-12-27 23:00:00,2023-12-28 23:00:43,UTC-05:00,2023-12-27 23:00:00,2023-12-28 05:00:00,100,16.2,126,360,90,21,15,234,103,34,61,27,false
2023-12-26 17:02:34,2023-12-27 23:00:00,UTC-05:00,2023-12-27 13:34:29,2023-12-27 21:08:42,79,13.8,395,454,269,59,67,59,498,34,87,,true
2023-12-26 17:02:34,2023-12-27 23:00:00,UTC-05:00,2023-12-26 17:02:34,2023-12-27 01:55:37,89,13.7,435,533,267,82,86,98,489,19,82,69,false
2023-12-26 01:16:52,2023-12-27 01:02:34,UTC+03:00,2023-12-26 01:16:52,2023-12-26 10:38:45,94,13.8,491,559,258,130,103,68,521,58,87,52,false
2023-12-25 03:48:25,2023-12-26 01:16:52,UTC+03:00,2023-12-25 03:48:25,2023-12-25 12:15:59,84,14.0,463,507,284,91,88,44,554,75,91,50,false
2023-12-23 23:45:43,2023-12-25 03:48:25,UTC+03:00,2023-12-23 23:45:43,2023-12-24 07:59:50,75,15.4,444,494,215,99,130,50,596,127,91,52,false
2023-12-23 03:39:46,2023-12-23 23:45:43,UTC+03:00,2023-12-23 03:39:46,2023-12-23 10:45:37,44,15.0,275,425,136,93,46,150,626,127,64,62,false
2023-12-22 04:25:23,2023-12-23 03:39:46,UTC+03:00,2023-12-22 04:25:23,2023-12-22 10:11:28,53,14.8,299,346,53,90,156,47,566,66,90,44,false
2023-12-21 01:52:50,2023-12-22 04:25:23,UTC+03:00,2023-12-21 01:52:50,2023-12-21 08:38:59,72,14.6,348,405,146,93,109,57,481,0,85,39,false
2023-12-19 22:51:19,2023-12-21 01:52:50,UTC+03:00,2023-12-19 22:51:19,2023-12-20 09:55:35,100,15.3,515,663,267,110,138,148,494,0,77,23,false
2023-12-18 22:22:54,2023-12-19 22:51:19,UTC+03:00,2023-12-18 22:22:54,2023-12-19 09:03:08,100,15.1,545,638,316,105,124,93,354,16,85,6,false
2023-12-16 21:35:39,2023-12-18 14:22:54,UTC-05:00,2023-12-17 13:29:29,2023-12-17 14:59:22,16,16.3,65,89,53,0,12,24,399,16,73,,true
2023-12-16 21:35:39,2023-12-18 14:22:54,UTC-05:00,2023-12-17 07:49:11,2023-12-17 09:23:24,17,15.4,84,92,73,0,11,8,483,16,94,,true
2023-12-15 22:38:39,2023-12-16 21:35:39,UTC-05:00,2023-12-15 22:38:39,2023-12-16 06:29:41,94,13.5,438,471,253,72,113,33,464,0,93,61,false
2023-12-14 21:35:39,2023-12-15 22:38:39,UTC-05:00,2023-12-14 21:35:39,2023-12-15 08:03:23,100,14.1,572,627,280,108,184,55,514,34,91,72,false
2023-12-13 23:50:01,2023-12-14 21:35:39,UTC-05:00,2023-12-13 23:50:01,2023-12-14 07:19:35,89,14.7,428,449,205,99,124,21,481,0,95,67,false
2023-12-13 01:00:00,2023-12-13 23:50:01,UTC-05:00,2023-12-13 01:00:00,2023-12-13 09:00:00,,,,,,,,,,,,,false
2023-12-11 20:49:51,2023-12-13 01:00:00,UTC-05:00,2023-12-11 20:49:51,2023-12-12 06:54:02,100,14.4,566,604,413,58,95,38,497,31,93,70,false
2023-12-10 21:15:56,2023-12-11 20:49:51,UTC-05:00,2023-12-10 21:15:56,2023-12-11 06:55:36,92,14.2,553,577,334,66,153,24,602,117,95,63,false
2023-12-10 01:06:36,2023-12-10 21:15:56,UTC-05:00,2023-12-10 01:06:36,2023-12-10 06:50:16,57,14.7,307,343,174,74,59,36,543,43,92,64,false
2023-12-09 00:10:47,2023-12-10 01:06:36,UTC-05:00,2023-12-09 00:10:47,2023-12-09 07:03:40,81,12.8,379,408,242,61,76,29,466,0,93,71,false
2023-12-07 21:04:15,2023-12-09 00:10:47,UTC-05:00,2023-12-07 21:04:15,2023-12-08 08:06:36,100,14.4,530,652,328,78,124,122,490,0,81,69,false
2023-12-06 21:56:36,2023-12-07 21:04:15,UTC-05:00,2023-12-06 21:56:36,2023-12-07 08:18:06,100,14.1,578,621,336,93,149,43,545,70,93,65,false
2023-12-06 00:25:23,2023-12-06 21:56:36,UTC-05:00,2023-12-06 00:25:23,2023-12-06 07:50:57,74,15.3,398,445,299,63,36,47,540,64,90,69,false
