Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-02-13 22:10:45,2024-02-14 22:17:10,UTC-05:00,2024-02-14 18:28:30,2024-02-14 19:17:59,49,Box Fitness,8.7,232.0,177,129,8,48,30,13,1,false,,,
2024-02-12 23:35:47,2024-02-13 22:10:45,UTC-05:00,2024-02-13 10:39:00,2024-02-13 11:44:59,65,Box Fitness,11.2,357.0,166,133,0,45,37,18,0,false,,,
2024-02-11 23:07:53,2024-02-12 23:35:47,UTC-05:00,2024-02-12 17:28:30,2024-02-12 18:05:42,37,Activity,6.7,154.0,150,125,11,61,28,0,0,false,,,
2024-02-09 23:52:28,2024-02-10 22:06:17,UTC-05:00,2024-02-10 11:31:30,2024-02-10 11:57:16,25,Running,12.1,242.0,189,159,0,0,13,59,28,false,,,
2024-02-07 21:45:58,2024-02-08 22:44:11,UTC-05:00,2024-02-08 18:12:00,2024-02-08 19:56:59,104,Box Fitness,13.1,521.0,185,129,11,30,34,21,1,false,,,
2024-02-06 21:27:28,2024-02-07 21:45:58,UTC-05:00,2024-02-07 17:51:00,2024-02-07 19:01:29,70,Box Fitness,8.9,280.0,164,123,9,59,27,3,0,false,,,
2024-02-05 21:31:45,2024-02-06 21:27:28,UTC-05:00,2024-02-06 18:07:30,2024-02-06 19:19:29,71,Box Fitness,9.4,273.0,174,122,19,52,23,4,1,false,,,
2024-02-04 23:23:41,2024-02-05 21:31:45,UTC-05:00,2024-02-05 17:10:30,2024-02-05 17:58:29,47,Box Fitness,7.3,185.0,157,123,13,66,18,3,0,false,,,
2024-01-31 22:02:57,2024-02-01 22:41:22,UTC-05:00,2024-02-01 19:15:00,2024-02-01 20:08:59,53,Box Fitness,12.3,322.0,180,137,7,31,35,16,11,false,,,
2024-01-30 20:31:35,2024-01-31 22:02:57,UTC-05:00,2024-01-31 17:36:00,2024-01-31 18:01:40,25,Box Fitness,5.7,94.0,154,122,15,58,24,3,0,false,,,
2024-01-29 21:09:37,2024-01-30 20:31:35,UTC-05:00,2024-01-30 17:09:00,2024-01-30 17:53:59,44,Box Fitness,7.2,181.0,158,124,5,67,25,3,0,false,,,
2024-01-28 20:54:41,2024-01-29 21:09:37,UTC-05:00,2024-01-29 17:06:00,2024-01-29 18:20:59,74,Box Fitness,10.2,350.0,159,129,4,47,43,6,0,false,,,
2024-01-27 22:10:35,2024-01-28 20:54:41,UTC-05:00,2024-01-28 09:42:00,2024-01-28 10:20:59,38,Functional Fitness,5.8,108.0,157,115,46,33,19,2,0,false,,,
2024-01-25 23:56:49,2024-01-26 21:21:03,UTC-05:00,2024-01-26 18:12:00,2024-01-26 19:10:29,58,Box Fitness,10.3,297.0,167,132,7,41,31,21,0,false,,,
2024-01-23 21:13:31,2024-01-24 22:01:55,UTC-05:00,2024-01-24 19:06:00,2024-01-24 20:10:29,64,Box Fitness,8.4,243.0,168,124,8,64,22,6,0,false,,,
2024-01-21 22:26:59,2024-01-22 20:42:44,UTC-05:00,2024-01-22 17:12:00,2024-01-22 18:23:59,71,Box Fitness,9.6,310.0,162,127,6,42,46,3,0,false,,,
2024-01-20 23:13:05,2024-01-21 22:26:59,UTC-05:00,2024-01-21 10:15:00,2024-01-21 10:49:29,34,Functional Fitness,8.1,168.0,169,130,18,24,24,31,0,false,,,
2024-01-18 23:32:13,2024-01-19 22:17:45,UTC-05:00,2024-01-19 17:51:00,2024-01-19 18:47:59,56,Activity,9.5,288.0,165,133,1,34,55,10,0,false,,,
2024-01-16 21:43:01,2024-01-18 00:53:52,UTC-05:00,2024-01-17 17:40:30,2024-01-17 18:08:59,28,Weightlifting,5.0,68.0,136,115,24,73,3,0,0,false,,,
2024-01-16 21:43:01,2024-01-18 00:53:52,UTC-05:00,2024-01-17 17:06:00,2024-01-17 17:25:29,19,Weightlifting,5.0,63.0,154,121,12,73,14,1,0,false,,,
2024-01-15 22:28:08,2024-01-16 21:43:01,UTC-05:00,2024-01-16 18:27:00,2024-01-16 19:08:59,41,Box Fitness,8.2,185.0,174,128,10,50,23,11,4,false,,,
2024-01-14 20:52:19,2024-01-15 22:28:08,UTC-05:00,2024-01-15 16:39:00,2024-01-15 18:14:59,95,Box Fitness,10.8,378.0,168,125,14,44,29,11,0,false,,,
2024-01-12 22:10:13,2024-01-13 22:54:57,UTC-05:00,2024-01-13 13:21:00,2024-01-13 14:40:29,79,Running,15.7,557.0,187,145,11,16,14,35,23,false,,,
2024-01-11 23:33:55,2024-01-12 22:10:13,UTC-05:00,2024-01-12 17:07:30,2024-01-12 18:01:29,53,Box Fitness,11.4,357.0,177,143,0,7,65,28,0,false,,,
